"Company Name","Number","Email","Address","Website","Capital","Turnover","Number of employees","Activity Code","Activity Code","Product","Name","Phone","Email","Job Title"
"Neosoft Tech","234324234234","maulikbhojani3@gmail.com","","","","","","121","test","","Contact 1","34234324","contact@contact.com","Test company"
"","","","","","","","","345","test","","Test company","234234234234","test@testing.com","Test company"
"","","","","","","","","10","test","","","","",""
"Company Name","9999999999","nikhil@yopmail.com","Osman Pune","","","","","121","test","","Cona info","6484684848","nikcontact@yopmail.com","Super"
"","","","","","","","","54","test","","","","",""
"","","","","","","","","7","test","","","","",""
"Aleriaic Business","+91 88793 16232","maulik.bhojani@wwindia.com","Test Address","","","","","14","test","","Contact 1","34234324","contact@contact.com","Test company"
"","","","","","","","","","","","Contact 1","1234567","contact@contact.com","Test company"
"Neosoft","321123456","neosoft@bneosoft.com","Pune","www.neosofttech.com","100000","100000","500","1","test","Truck","Contact name 1","23212345","contact1@gmail.com","Software Engineer"
"","","","","","","","","121","test","","Contact name 2","23212345","contact2@gmail.com","Software Engineer"
"","","","","","","","","232","test","","","","",""
"","","","","","","","","54","test","","","","",""
"","","","","","","","","345","test","","","","",""
"","","","","","","","","76","test","","","","",""
"","","","","","","","","7","test","","","","",""
"","","","","","","","","8","test","","","","",""
"","","","","","","","","9","test","","","","",""
"","","","","","","","","10","test","","","","",""
"","","","","","","","","11","test","","","","",""
"","","","","","","","","12","test","","","","",""
"","","","","","","","","13","test","","","","",""
"","","","","","","","","14","test","","","","",""
